,QUANTITYORDERED,PRICEEACH,SALES,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,CITY,POSTALCODE,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
2015,35.0,76.43,222.0,1843,4,11,2004,209,68.0,19,29,29,29,29,29.0,69,29,29,1282
1252,42.0,100.0,222.0,1843,1,3,2004,684,143.0,21,15,15,15,15,15.0,36,15,24,157
1811,27.0,42.24,222.0,1843,4,11,2004,684,37.0,21,18,18,18,33,33.0,708,50,18,1282
1577,37.0,62.46,222.0,1843,2,6,2004,229,76.0,22,19,19,19,19,151.0,708,37,79,1282
1158,25.0,100.0,222.0,1843,4,11,2004,684,146.0,19,13,13,13,13,13.0,36,13,13,1384
2150,27.0,100.0,222.0,1843,3,9,2003,221,96.0,21,23,23,23,23,23.0,60,23,23,1384
1371,31.0,100.0,222.0,1843,3,7,2003,684,148.0,16,132,132,132,132,151.0,708,147,179,1384
266,34.0,100.0,222.0,1843,1,1,2003,684,151.0,21,188,188,188,224,188.0,251,188,188,1384
2318,24.0,81.17,222.0,1843,4,11,2004,429,68.0,17,29,29,29,29,29.0,69,29,29,1282
2751,42.0,70.33,222.0,1843,1,1,2004,209,74.0,16,14,14,14,14,14.0,42,14,14,1282
2171,26.0,100.0,222.0,1843,2,5,2005,221,96.0,21,17,17,17,17,17.0,50,17,17,1282
1178,33.0,100.0,222.0,1843,3,7,2004,684,141.0,19,30,30,30,30,30.0,69,30,30,1384
2326,26.0,61.22,222.0,1843,2,5,2005,429,68.0,17,30,30,30,30,30.0,69,30,30,1282
2106,37.0,74.62,222.0,1843,2,5,2004,209,72.0,19,28,28,28,28,67.0,708,66,59,1282
685,26.0,57.51,222.0,1843,4,11,2003,429,60.0,15,29,29,29,29,29.0,69,29,29,1282
100,39.0,76.67,222.0,1843,4,11,2004,229,193.0,20,28,28,28,28,28.0,42,28,28,1282
1983,24.0,100.0,222.0,1843,3,7,2004,684,140.0,23,30,30,30,30,30.0,69,30,30,1282
2080,20.0,100.0,222.0,1843,4,11,2003,429,97.0,23,15,15,15,15,15.0,124,15,15,1282
1084,21.0,100.0,222.0,1843,4,11,2004,48,100.0,15,15,15,15,47,15.0,220,15,15,1282
2655,31.0,100.0,222.0,1843,4,10,2004,209,118.0,20,16,16,16,16,16.0,708,66,27,1384
2251,27.0,63.38,222.0,1843,2,4,2003,48,62.0,18,6,6,6,6,6.0,22,6,6,1282
2107,24.0,75.35,222.0,1843,2,6,2004,209,72.0,19,19,19,19,19,151.0,708,37,79,1282
33,23.0,100.0,222.0,1843,4,11,2003,684,214.0,16,15,15,15,33,33.0,708,15,15,1384
2090,44.0,100.0,222.0,1843,4,10,2004,429,97.0,23,132,132,132,132,151.0,708,147,179,1384
2157,25.0,100.0,222.0,1843,1,3,2004,221,96.0,21,132,132,132,132,151.0,708,147,179,1282
734,20.0,100.0,222.0,1843,4,11,2003,429,127.0,16,132,132,132,132,151.0,708,147,179,1282
1684,24.0,56.1,222.0,1843,4,10,2004,229,69.0,17,21,21,21,21,21.0,60,21,21,1282
149,30.0,100.0,222.0,1843,3,9,2004,684,147.0,22,23,23,23,23,23.0,36,23,35,1384
720,33.0,37.48,222.0,1843,4,11,2004,221,122.0,19,22,22,22,103,103.0,708,66,61,1282
780,19.0,49.22,222.0,29,2,5,2005,221,60.0,22,40,40,40,46,46.0,220,40,40,1282
93,41.0,100.0,222.0,1843,2,6,2004,229,193.0,20,19,19,19,19,151.0,708,37,79,157
2516,30.0,94.4,222.0,1843,4,11,2003,156,86.0,15,32,32,32,48,48.0,708,32,32,1282
99,26.0,100.0,222.0,1843,4,11,2004,229,193.0,20,31,31,31,103,103.0,708,55,31,1384
1097,36.0,94.88,222.0,1843,4,11,2003,684,80.0,15,15,15,15,15,15.0,36,15,15,1384
265,21.0,100.0,222.0,8,2,5,2005,229,150.0,16,188,188,188,224,188.0,251,188,188,1384
2319,39.0,59.16,222.0,1843,4,11,2004,429,68.0,17,15,15,15,15,15.0,251,15,15,1282
219,41.0,100.0,222.0,1843,4,11,2003,221,136.0,16,15,15,15,33,33.0,708,15,15,1384
1575,36.0,87.6,222.0,1843,2,4,2004,229,76.0,22,18,18,18,33,33.0,708,50,18,1384
2561,34.0,100.0,222.0,1843,1,2,2003,209,99.0,19,29,29,29,29,29.0,69,29,29,1384
2581,49.0,100.0,222.0,1843,4,12,2004,209,99.0,19,5,5,5,31,31.0,708,18,20,1384
1853,27.0,79.62,222.0,1843,1,1,2004,684,85.0,15,188,188,188,224,188.0,251,188,188,1282
291,45.0,100.0,222.0,1843,1,3,2003,684,117.0,17,18,18,18,18,18.0,18,18,18,1384
421,49.0,100.0,222.0,1843,1,3,2003,221,116.0,24,132,132,132,132,151.0,708,147,179,1384
747,29.0,100.0,222.0,1843,4,12,2004,429,127.0,16,14,14,14,47,14.0,220,14,27,1384
1289,41.0,82.5,222.0,1843,1,2,2003,429,87.0,18,25,25,25,25,25.0,46,25,25,1384
2641,32.0,100.0,222.0,1843,1,2,2003,209,118.0,20,29,29,29,29,29.0,69,29,29,1384
1576,32.0,87.6,222.0,1843,2,5,2004,229,76.0,22,28,28,28,28,67.0,708,66,59,1282
1050,27.0,100.0,222.0,1843,4,11,2004,684,169.0,33,22,22,22,103,103.0,708,66,61,1384
2621,23.0,86.99,222.0,1843,4,11,2003,684,101.0,21,15,15,15,33,33.0,708,15,15,1282
